Average Response Time,Request Type,Frequency,Size
14.649872202426195,1,0,2
6.837580818682909,1,0,2
10.164055041968822,1,0,2
7.667413912713528,1,0,2
14.122549910098314,1,0,2
13.98090599104762,1,0,2
9.826471097767353,1,0,2
10.394234210252762,1,0,2
3.754200879484415,1,0,2
3.4943721257150173,1,0,2
5.2825831808149815,1,0,2
4.578966181725264,1,0,2
3.600726369768381,1,0,2
8.806674741208553,1,0,2
8.175847120583057,1,0,2
7.7736880630254745,1,0,2
15.052407048642635,1,0,2
7.108281832188368,1,0,2
9.070267900824547,1,0,2
11.74659002572298,1,0,2
9.420572780072689,1,0,2
7.973731029778719,1,0,2
13.381117023527622,1,0,2
11.106478050351143,1,0,2
26.29449311643839,1,0,2
22.220495156943798,1,0,2
19.01734108105302,1,0,2
24.693015031516552,1,0,2
20.04164829850197,1,0,2
20.772132091224194,1,0,2
20.04269976168871,1,0,2
18.24095193296671,1,0,2
21.604247391223907,1,0,2
11.02154515683651,1,0,2
7.993741892278194,1,0,2
8.678419049829245,1,0,2
24.95157578960061,1,0,2
10.571589693427086,1,0,2
7.318268064409494,1,0,2
14.143098145723343,1,0,2
7.738451007753611,1,0,2
7.97883328050375,1,0,2
2.0058900117874146,1,0,2
9.357701987028122,1,0,2
7.334914058446884,1,0,2
2.6804939843714237,1,0,2
7.575453724712133,1,0,2
2.617279998958111,1,0,2
6.331890821456909,1,0,2
4.828849341720343,1,0,2
6.75391498953104,1,0,2
6.284505594521761,1,0,2
5.605620797723532,1,0,2
5.214756354689598,1,0,2
9.785298723727465,1,0,2
4.0801092982292175,1,0,2
6.047957111150026,1,0,2
4.211388994008303,1,0,2
2.4183779023587704,1,0,2
3.3767856657505035,1,0,2
4.120881203562021,1,0,2
2.7132746763527393,1,0,2
2.03758105635643,1,0,2
3.2016891054809093,1,0,2
8.27424880117178,1,1,0
2.9135551303625107,1,1,0
11.602019891142845,1,1,0
12.4022769741714,1,1,0
7.672952953726053,1,1,0
10.662307031452656,1,1,0
10.13322127982974,1,1,0
22.044654935598373,1,1,0
14.806624036282301,1,1,0
2.0931269973516464,1,1,0
12.38781725987792,1,1,0
10.242754593491554,1,1,0
4.0145087987184525,1,1,0
5.2926610223948956,1,1,0
2.2139600478112698,1,1,0
14.45805188268423,1,1,0
14.001219067722559,1,1,0
20.89518867433071,1,1,0
22.565267980098724,1,1,0
1.8882337026298046,1,1,0
11.4039471372962,1,1,0
21.608849987387657,1,1,0
16.048850025981665,1,1,0
11.019899044185877,1,1,0
3.9999419823288918,1,1,0
11.127064004540443,1,1,0
11.714327149093151,1,1,0
3.940130118280649,1,1,0
15.68362582474947,1,1,0
2.361973747611046,1,1,0
10.288752149790525,1,1,0
2.166710328310728,1,1,0
10.084721259772778,1,1,0
2.82606715336442,1,1,0
15.191526152193546,1,1,0
15.615542884916067,1,1,0
22.0402330160141,1,1,0
15.12177288532257,1,1,0
12.723532039672136,1,1,0
8.272838778793812,1,1,0
9.714769665151834,1,1,0
15.163091011345387,1,1,0
4.203307908028364,1,1,0
8.237011730670929,1,1,0
11.568690650165081,1,1,0
16.45788736641407,1,1,0
3.656423185020685,1,1,0
2.733235713094473,1,1,0
18.462995998561382,1,1,0
10.8173293992877,1,1,0
7.827750872820616,1,1,0
2.990203909575939,1,1,0
4.473010078072548,1,1,0
11.418913956731558,1,1,0
